steps,rewards
124,-62.098390042942796
206,-130.77443136307656
282,-283.6871145266628
410,-121.11828914165352
476,-226.08331409126535
568,-218.6827118688081
633,-192.9332215068544
855,-1049.3700283354658
1001,-70.97145394940905
1118,-441.0253967215373
1486,-505.3496197284402
1835,-192.76858360938246
2061,-198.99704480350135
2181,-1046.4761558891037
2314,-176.98631855393592
2440,-814.9761032720946
2618,-167.53648600993938
3224,-295.97977952111023
3510,-406.37725856014015
3737,-137.3283250321452
3991,-181.34977425266084
4347,-311.8373473816978
4565,-159.4699443943884
5001,-173.43331174572882
5736,-274.61269359530036
6011,305.447839810094
6443,-205.43818378489414
7398,-274.7407167034711
7675,-297.4726439081626
7946,-138.4194882675854
8481,-222.26791572315392
9184,-281.08332748614606
9739,-315.53028711292467
