steps,rewards
125,-287.4213404102922
234,-202.6471499025807
317,-178.3069975138074
434,-311.06468130734913
554,-358.70449003483714
686,-199.01091537367353
815,-239.1133565867953
1001,-109.93211093311301
1163,-181.02603857847402
1782,-179.57315689600597
1928,-97.55134724961721
2043,-144.41430505318425
2187,-279.98448364918806
2362,-341.2621892775938
2566,-312.6478641872968
2734,-348.9267412393152
3034,-119.83525113648712
3185,-45.380227029777075
3337,-97.64198997879535
3542,-422.96452850207356
3731,-223.90678031200497
4003,-240.0314382728635
4139,-371.67421298922756
4427,-271.72537186502854
4739,-60.71148900601453
5001,-91.81392356721611
5305,-60.17177511496959
5575,-261.0057154984607
6575,-3.066892527562801
6825,-52.3871643653294
7094,-225.95310076380196
7320,1.306948375250954
7537,22.708736148468333
7922,-172.18646120201004
8280,27.38564610123042
8727,-95.99388770800749
9055,-62.272148361061326
9424,-105.11287607910609
9742,15.444460655489834
9989,-33.39713134444354
